Time,LCpeak,LApeak,LApeak,LApeak,LApeak,LBpeak,LCpeak,LZpeak,LN1,LN2,LN3,LN4,LN5,LN6
2019-02-18T22:23:35.250Z,76,76.1,76.1,76.1,76.1,74.5,76,77,55.6,51.1,49.2,42.1,36.2,35.1
2019-02-18T22:23:40.248Z,76.2,73.1,73.1,73.1,73.1,75.7,76.2,76.7,60.8,55.7,53.6,34.1,31.2,30.7
2019-02-18T22:23:45.243Z,73.6,70.5,70.5,70.5,70.5,72.6,73.6,74.1,59.6,56.7,55.4,46.1,31.3,31.1
2019-02-18T22:23:50.249Z,68.9,65.3,65.3,65.3,65.3,69.2,68.9,69.6,53.9,52,49.7,37.7,34.3,33.6
2019-02-18T22:23:55.255Z,80.9,79.1,79.1,79.1,79.1,81.5,80.9,80.6,64.9,64.1,63,53.1,36.4,35.4
2019-02-18T22:24:00.258Z,78.1,73.1,73.1,73.1,73.1,75.6,78.1,78.5,59.9,58.9,57.9,52.4,35.9,33.2
2019-02-18T22:24:05.237Z,79.5,75.2,75.2,75.2,75.2,78.9,79.5,80,64.5,63,61.6,48.5,32.6,32.1
2019-02-18T22:24:10.238Z,74.9,71.3,71.3,71.3,71.3,75.3,74.9,74.7,59.5,58.3,57.1,51.6,39.5,37.6
2019-02-18T22:24:15.259Z,75,71,71,71,71,74,75,75.7,57.7,56.6,56.3,52.3,38.8,35.5
2019-02-18T22:24:20.256Z,84.7,81.1,81.1,81.1,81.1,84.2,84.7,84.8,69.6,66.8,65.4,57.6,43.7,39.3
2019-02-18T22:24:25.259Z,74.7,72.2,72.2,72.2,72.2,75.1,74.7,75.4,59.4,58.4,57.9,54.2,44.5,40.3
2019-02-18T22:24:30.262Z,81,77.9,77.9,77.9,77.9,80.4,81,80.9,68.4,65,61.7,52.8,36.1,33
2019-02-18T22:24:35.241Z,77.5,74.7,74.7,74.7,74.7,77.4,77.5,77.8,61.9,60.6,58.7,53.2,33.4,32.4
2019-02-18T22:24:40.259Z,86.1,73.7,73.7,73.7,73.7,82.7,86.1,87.7,62,60.3,59.4,54.9,35.8,34.3
2019-02-18T22:24:45.263Z,80.5,76,76,76,76,79.3,80.5,80.4,66,64.3,63.6,57.5,35,33.7
2019-02-18T22:24:50.261Z,80.2,77.7,77.7,77.7,77.7,79.8,80.2,80.4,64.1,62.4,60.3,53.3,33.9,33.3
2019-02-18T22:24:55.262Z,80.2,73,73,73,73,76.8,80.2,80.8,60.1,59.1,58.5,53.4,40.2,37.3
2019-02-18T22:25:00.262Z,78.7,75.2,75.2,75.2,75.2,78.1,78.7,79.8,64.4,63.5,62.1,53.3,35.9,35.3
2019-02-18T22:25:05.263Z,77.1,74.9,74.9,74.9,74.9,77.5,77.1,77.5,62.9,61.1,60.2,52.5,33.7,32.9
